"title","description","rating","count_of_movies","average_movie_rental_rate","maximum_rental_duration","minimum_rental_duration"
"Mulan Moon","A Emotional Saga of a Womanizer And a Pioneer who must Overcome a Dentist in A Baloon","G","1","0.99000000000000000000",4,4
"Fantasia Park","A Thoughtful Documentary of a Mad Scientist And a A Shark who must Outrace a Feminist in Australia","G","1","2.9900000000000000",5,5
"Mob Duffel","A Unbelieveable Documentary of a Frisbee And a Boat who must Meet a Boy in The Canadian Rockies","G","1","0.99000000000000000000",4,4
"Bugsy Song","A Awe-Inspiring Character Study of a Secret Agent And a Boat who must Find a Squirrel in The First Manned Space Station","G","1","2.9900000000000000",4,4
"Torque Bound","A Emotional Display of a Crocodile And a Husband who must Reach a Man in Ancient Japan","G","1","4.9900000000000000",3,3
"Color Philadelphia","A Thoughtful Panorama of a Car And a Crocodile who must Sink a Monkey in The Sahara Desert","G","1","2.9900000000000000",6,6
"Fargo Gandhi","A Thrilling Reflection of a Pastry Chef And a Crocodile who must Reach a Teacher in The Outback","G","1","2.9900000000000000",3,3
"Cheaper Clyde","A Emotional Character Study of a Pioneer And a Girl who must Discover a Dog in Ancient Japan","G","1","0.99000000000000000000",6,6
"Muscle Bright","A Stunning Panorama of a Sumo Wrestler And a Husband who must Redeem a Madman in Ancient India","G","1","2.9900000000000000",7,7
"Goldfinger Sensibility","A Insightful Drama of a Mad Scientist And a Hunter who must Defeat a Pastry Chef in New Orleans","G","1","0.99000000000000000000",3,3
"Teen Apollo","A Awe-Inspiring Drama of a Dog And a Man who must Escape a Robot in A Shark Tank","G","1","4.9900000000000000",3,3
"Scissorhands Slums","A Awe-Inspiring Drama of a Girl And a Technical Writer who must Meet a Feminist in The Canadian Rockies","G","1","2.9900000000000000",5,5
"Catch Amistad","A Boring Reflection of a Lumberjack And a Feminist who must Discover a Woman in Nigeria","G","1","0.99000000000000000000",7,7
"Annie Identity","A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park","G","1","0.99000000000000000000",3,3
"Spoilers Hellfighters","A Fanciful Story of a Technical Writer And a Squirrel who must Defeat a Dog in The Gulf of Mexico","G","1","0.99000000000000000000",4,4
"Autumn Crow","A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert","G","1","4.9900000000000000",3,3
"Werewolf Lola","A Fanciful Story of a Man And a Sumo Wrestler who must Outrace a Student in A Monastery","G","1","4.9900000000000000",6,6
"Angels Life","A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin","G","1","2.9900000000000000",3,3
"Dracula Crystal","A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House","G","1","0.99000000000000000000",7,7
"Flatliners Killer","A Taut Display of a Secret Agent And a Waitress who must Sink a Robot in An Abandoned Mine Shaft","G","1","2.9900000000000000",5,5
"Chitty Lock","A Boring Epistle of a Boat And a Database Administrator who must Kill a Sumo Wrestler in The First Manned Space Station","G","1","2.9900000000000000",6,6
"Control Anthem","A Fateful Documentary of a Robot And a Student who must Battle a Cat in A Monastery","G","1","4.9900000000000000",7,7
"Pulp Beverly","A Unbelieveable Display of a Dog And a Crocodile who must Outrace a Man in Nigeria","G","1","2.9900000000000000",4,4
"Empire Malkovich","A Amazing Story of a Feminist And a Cat who must Face a Car in An Abandoned Fun House","G","1","0.99000000000000000000",7,7
"Lust Lock","A Fanciful Panorama of a Hunter And a Dentist who must Meet a Secret Agent in The Sahara Desert","G","1","2.9900000000000000",3,3
"Beach Heartbreakers","A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia","G","1","2.9900000000000000",6,6
"Lawless Vision","A Insightful Yarn of a Boy And a Sumo Wrestler who must Outgun a Car in The Outback","G","1","4.9900000000000000",6,6
"Casablanca Super","A Amazing Panorama of a Crocodile And a Forensic Psychologist who must Pursue a Secret Agent in The First Manned Space Station","G","1","4.9900000000000000",6,6
"African Egg","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico","G","1","2.9900000000000000",6,6
"Blood Argonauts","A Boring Drama of a Explorer And a Man who must Kill a Lumberjack in A Manhattan Penthouse","G","1","0.99000000000000000000",3,3
"Barefoot Manchurian","A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park","G","1","2.9900000000000000",6,6
"Hocus Frida","A Awe-Inspiring Tale of a Girl And a Madman who must Outgun a Student in A Shark Tank","G","1","2.9900000000000000",4,4
"Saints Bride","A Fateful Tale of a Technical Writer And a Composer who must Pursue a Explorer in The Gulf of Mexico","G","1","2.9900000000000000",5,5
"Alamo Videotape","A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention","G","1","0.99000000000000000000",6,6
"Cat Coneheads","A Fast-Paced Panorama of a Girl And a A Shark who must Confront a Boy in Ancient India","G","1","4.9900000000000000",5,5
"Samurai Lion","A Fast-Paced Story of a Pioneer And a Astronaut who must Reach a Boat in A Baloon","G","1","2.9900000000000000",5,5
"Clerks Angels","A Thrilling Display of a Sumo Wrestler And a Girl who must Confront a Man in A Baloon","G","1","4.9900000000000000",3,3
"Potluck Mixed","A Beautiful Story of a Dog And a Technical Writer who must Outgun a Student in A Baloon","G","1","2.9900000000000000",3,3
"Timberland Sky","A Boring Display of a Man And a Dog who must Redeem a Girl in A U-Boat","G","1","0.99000000000000000000",3,3
"West Lion","A Intrepid Drama of a Butler And a Lumberjack who must Challenge a Database Administrator in A Manhattan Penthouse","G","1","4.9900000000000000",4,4
"Bonnie Holocaust","A Fast-Paced Story of a Crocodile And a Robot who must Find a Moose in Ancient Japan","G","1","0.99000000000000000000",4,4
"Desperate Trainspotting","A Epic Yarn of a Forensic Psychologist And a Teacher who must Face a Lumberjack in California","G","1","4.9900000000000000",7,7
"Menagerie Rushmore","A Unbelieveable Panorama of a Composer And a Butler who must Overcome a Database Administrator in The First Manned Space Station","G","1","2.9900000000000000",7,7
"Hills Neighbors","A Epic Display of a Hunter And a Feminist who must Sink a Car in A U-Boat","G","1","0.99000000000000000000",5,5
"Summer Scarface","A Emotional Panorama of a Lumberjack And a Hunter who must Meet a Girl in A Shark Tank","G","1","0.99000000000000000000",5,5
"Casualties Encino","A Insightful Yarn of a A Shark And a Pastry Chef who must Face a Boy in A Monastery","G","1","4.9900000000000000",3,3
"Ace Goldfinger","A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China","G","1","4.9900000000000000",3,3
"Mussolini Spoilers","A Thrilling Display of a Boat And a Monkey who must Meet a Composer in Ancient China","G","1","2.9900000000000000",6,6
"Dancing Fever","A Stunning Story of a Explorer And a Forensic Psychologist who must Face a Crocodile in A Shark Tank","G","1","0.99000000000000000000",6,6
"Lonely Elephant","A Intrepid Story of a Student And a Dog who must Challenge a Explorer in Soviet Georgia","G","1","2.9900000000000000",3,3
"Heartbreakers Bright","A Awe-Inspiring Documentary of a A Shark And a Dentist who must Outrace a Pastry Chef in The Canadian Rockies","G","1","4.9900000000000000",3,3
"Drumline Cyclone","A Insightful Panorama of a Monkey And a Sumo Wrestler who must Outrace a Mad Scientist in The Canadian Rockies","G","1","0.99000000000000000000",3,3
"Ghost Groundhog","A Brilliant Panorama of a Madman And a Composer who must Succumb a Car in Ancient India","G","1","4.9900000000000000",6,6
"Young Language","A Unbelieveable Yarn of a Boat And a Database Administrator who must Meet a Boy in The First Manned Space Station","G","1","0.99000000000000000000",6,6
"Smile Earring","A Intrepid Drama of a Teacher And a Butler who must Build a Pastry Chef in Berlin","G","1","2.9900000000000000",4,4
"Trap Guys","A Unbelieveable Story of a Boy And a Mad Cow who must Challenge a Database Administrator in The Sahara Desert","G","1","4.9900000000000000",3,3
"Sleepless Monsoon","A Amazing Saga of a Moose And a Pastry Chef who must Escape a Butler in Australia","G","1","4.9900000000000000",5,5
"Intrigue Worst","A Fanciful Character Study of a Explorer And a Mad Scientist who must Vanquish a Squirrel in A Jet Boat","G","1","0.99000000000000000000",6,6
"Shining Roses","A Awe-Inspiring Character Study of a Astronaut And a Forensic Psychologist who must Challenge a Madman in Ancient India","G","1","0.99000000000000000000",4,4
"Conquerer Nuts","A Taut Drama of a Mad Scientist And a Man who must Escape a Pioneer in An Abandoned Mine Shaft","G","1","4.9900000000000000",4,4
"Beauty Grease","A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft","G","1","4.9900000000000000",5,5
"Satisfaction Confidential","A Lacklusture Yarn of a Dentist And a Butler who must Meet a Secret Agent in Ancient China","G","1","4.9900000000000000",3,3
"Watership Frontier","A Emotional Yarn of a Boat And a Crocodile who must Meet a Moose in Soviet Georgia","G","1","0.99000000000000000000",6,6
"Bulworth Commandments","A Amazing Display of a Mad Cow And a Pioneer who must Redeem a Sumo Wrestler in The Outback","G","1","2.9900000000000000",4,4
"Citizen Shrek","A Fanciful Character Study of a Technical Writer And a Husband who must Redeem a Robot in The Outback","G","1","0.99000000000000000000",7,7
"Primary Glass","A Fateful Documentary of a Pastry Chef And a Butler who must Build a Dog in The Canadian Rockies","G","1","0.99000000000000000000",7,7
"Traffic Hobbit","A Amazing Epistle of a Squirrel And a Lumberjack who must Succumb a Database Administrator in A U-Boat","G","1","4.9900000000000000",5,5
"Saturday Lambs","A Thoughtful Reflection of a Mad Scientist And a Moose who must Kill a Husband in A Baloon","G","1","4.9900000000000000",3,3
"Kill Brotherhood","A Touching Display of a Hunter And a Secret Agent who must Redeem a Husband in The Outback","G","1","0.99000000000000000000",4,4
"Minority Kiss","A Insightful Display of a Lumberjack And a Sumo Wrestler who must Meet a Man in The Outback","G","1","0.99000000000000000000",4,4
"Doctor Grail","A Insightful Drama of a Womanizer And a Waitress who must Reach a Forensic Psychologist in The Outback","G","1","2.9900000000000000",4,4
"Rock Instinct","A Astounding Character Study of a Robot And a Moose who must Overcome a Astronaut in Ancient India","G","1","0.99000000000000000000",4,4
"Affair Prejudice","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank","G","1","2.9900000000000000",5,5
"Pacific Amistad","A Thrilling Yarn of a Dog And a Moose who must Kill a Pastry Chef in A Manhattan Penthouse","G","1","0.99000000000000000000",3,3
"Chisum Behavior","A Epic Documentary of a Sumo Wrestler And a Butler who must Kill a Car in Ancient India","G","1","4.9900000000000000",5,5
"Exorcist Sting","A Touching Drama of a Dog And a Sumo Wrestler who must Conquer a Mad Scientist in Berlin","G","1","2.9900000000000000",6,6
"Bunch Minds","A Emotional Story of a Feminist And a Feminist who must Escape a Pastry Chef in A MySQL Convention","G","1","2.9900000000000000",4,4
"Warlock Werewolf","A Astounding Yarn of a Pioneer And a Crocodile who must Defeat a A Shark in The Outback","G","1","2.9900000000000000",6,6
"Butterfly Chocolat","A Fateful Story of a Girl And a Composer who must Conquer a Husband in A Shark Tank","G","1","0.99000000000000000000",3,3
"Destiny Saturday","A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia","G","1","4.9900000000000000",4,4
"Bride Intrigue","A Epic Tale of a Robot And a Monkey who must Vanquish a Man in New Orleans","G","1","0.99000000000000000000",7,7
"Blanket Beverly","A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria","G","1","2.9900000000000000",7,7
"Grease Youth","A Emotional Panorama of a Secret Agent And a Waitress who must Escape a Composer in Soviet Georgia","G","1","0.99000000000000000000",7,7
"Panky Submarine","A Touching Documentary of a Dentist And a Sumo Wrestler who must Overcome a Boy in The Gulf of Mexico","G","1","4.9900000000000000",4,4
"Heavyweights Beast","A Unbelieveable Story of a Composer And a Dog who must Overcome a Womanizer in An Abandoned Amusement Park","G","1","4.9900000000000000",6,6
"Jaws Harry","A Thrilling Display of a Database Administrator And a Monkey who must Overcome a Dog in An Abandoned Fun House","G","1","2.9900000000000000",4,4
"Duffel Apocalypse","A Emotional Display of a Boat And a Explorer who must Challenge a Madman in A MySQL Convention","G","1","0.99000000000000000000",5,5
"Secrets Paradise","A Fateful Saga of a Cat And a Frisbee who must Kill a Girl in A Manhattan Penthouse","G","1","4.9900000000000000",3,3
"Italian African","A Astounding Character Study of a Monkey And a Moose who must Outgun a Cat in A U-Boat","G","1","4.9900000000000000",3,3
"Mosquito Armageddon","A Thoughtful Character Study of a Waitress And a Feminist who must Build a Teacher in Ancient Japan","G","1","0.99000000000000000000",6,6
"Waterfront Deliverance","A Unbelieveable Documentary of a Dentist And a Technical Writer who must Build a Womanizer in Nigeria","G","1","4.9900000000000000",4,4
"Married Go","A Fanciful Story of a Womanizer And a Dog who must Face a Forensic Psychologist in The Sahara Desert","G","1","2.9900000000000000",7,7
"Daddy Pittsburgh","A Epic Story of a A Shark And a Student who must Confront a Explorer in The Gulf of Mexico","G","1","4.9900000000000000",5,5
"Snowman Rollercoaster","A Fateful Display of a Lumberjack And a Girl who must Succumb a Mad Cow in A Manhattan Penthouse","G","1","0.99000000000000000000",3,3
"Crossroads Casualties","A Intrepid Documentary of a Sumo Wrestler And a Astronaut who must Battle a Composer in The Outback","G","1","2.9900000000000000",5,5
"Daisy Menagerie","A Fast-Paced Saga of a Pastry Chef And a Monkey who must Sink a Composer in Ancient India","G","1","4.9900000000000000",5,5
"Divorce Shining","A Unbelieveable Saga of a Crocodile And a Student who must Discover a Cat in Ancient India","G","1","2.9900000000000000",3,3
"War Notting","A Boring Drama of a Teacher And a Sumo Wrestler who must Challenge a Secret Agent in The Canadian Rockies","G","1","4.9900000000000000",7,7
"Tycoon Gathering","A Emotional Display of a Husband And a A Shark who must Succumb a Madman in A Manhattan Penthouse","G","1","4.9900000000000000",3,3
"Pickup Driving","A Touching Documentary of a Husband And a Boat who must Meet a Pastry Chef in A Baloon Factory","G","1","2.9900000000000000",3,3
"Dwarfs Alter","A Emotional Yarn of a Girl And a Dog who must Challenge a Composer in Ancient Japan","G","1","2.9900000000000000",6,6
"Suicides Silence","A Emotional Character Study of a Car And a Girl who must Face a Composer in A U-Boat","G","1","4.9900000000000000",4,4
"Liberty Magnificent","A Boring Drama of a Student And a Cat who must Sink a Technical Writer in A Baloon","G","1","2.9900000000000000",3,3
"Unbreakable Karate","A Amazing Character Study of a Robot And a Student who must Chase a Robot in Australia","G","1","0.99000000000000000000",3,3
"Sagebrush Clueless","A Insightful Story of a Lumberjack And a Hunter who must Kill a Boy in Ancient Japan","G","1","2.9900000000000000",4,4
"Connection Microcosmos","A Fateful Documentary of a Crocodile And a Husband who must Face a Husband in The First Manned Space Station","G","1","0.99000000000000000000",6,6
"Japanese Run","A Awe-Inspiring Epistle of a Feminist And a Girl who must Sink a Girl in The Outback","G","1","0.99000000000000000000",6,6
"Dazed Punk","A Action-Packed Story of a Pioneer And a Technical Writer who must Discover a Forensic Psychologist in An Abandoned Amusement Park","G","1","4.9900000000000000",6,6
"Sassy Packer","A Fast-Paced Documentary of a Dog And a Teacher who must Find a Moose in A Manhattan Penthouse","G","1","0.99000000000000000000",6,6
"Truman Crazy","A Thrilling Epistle of a Moose And a Boy who must Meet a Database Administrator in A Monastery","G","1","4.9900000000000000",7,7
"Ballroom Mockingbird","A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California","G","1","0.99000000000000000000",6,6
"Bird Independence","A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies","G","1","4.9900000000000000",6,6
"Clash Freddy","A Amazing Yarn of a Composer And a Squirrel who must Escape a Astronaut in Australia","G","1","2.9900000000000000",6,6
"Panic Club","A Fanciful Display of a Teacher And a Crocodile who must Succumb a Girl in A Baloon","G","1","4.9900000000000000",3,3
"Newsies Story","A Action-Packed Character Study of a Dog And a Lumberjack who must Outrace a Moose in The Gulf of Mexico","G","1","0.99000000000000000000",4,4
"Garden Island","A Unbelieveable Character Study of a Womanizer And a Madman who must Reach a Man in The Outback","G","1","4.9900000000000000",3,3
"Rings Heartbreakers","A Amazing Yarn of a Sumo Wrestler And a Boat who must Conquer a Waitress in New Orleans","G","1","0.99000000000000000000",5,5
"Hanging Deep","A Action-Packed Yarn of a Boat And a Crocodile who must Build a Monkey in Berlin","G","1","4.9900000000000000",5,5
"Encino Elf","A Astounding Drama of a Feminist And a Teacher who must Confront a Husband in A Baloon","G","1","0.99000000000000000000",6,6
"Wake Jaws","A Beautiful Saga of a Feminist And a Composer who must Challenge a Moose in Berlin","G","1","4.9900000000000000",7,7
"Novocaine Flight","A Fanciful Display of a Student And a Teacher who must Outgun a Crocodile in Nigeria","G","1","0.99000000000000000000",4,4
"Gosford Donnie","A Epic Panorama of a Mad Scientist And a Monkey who must Redeem a Secret Agent in Berlin","G","1","4.9900000000000000",5,5
"Meet Chocolate","A Boring Documentary of a Dentist And a Butler who must Confront a Monkey in A MySQL Convention","G","1","2.9900000000000000",3,3
"Tracy Cider","A Touching Reflection of a Database Administrator And a Madman who must Build a Lumberjack in Nigeria","G","1","0.99000000000000000000",3,3
"Hoosiers Birdcage","A Astounding Display of a Explorer And a Boat who must Vanquish a Car in The First Manned Space Station","G","1","2.9900000000000000",3,3
"Easy Gladiator","A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India","G","1","4.9900000000000000",5,5
"Glass Dying","A Astounding Drama of a Frisbee And a Astronaut who must Fight a Dog in Ancient Japan","G","1","0.99000000000000000000",4,4
"Moonwalker Fool","A Epic Drama of a Feminist And a Pioneer who must Sink a Composer in New Orleans","G","1","4.9900000000000000",5,5
"Stranger Strangers","A Awe-Inspiring Yarn of a Womanizer And a Explorer who must Fight a Woman in The First Manned Space Station","G","1","4.9900000000000000",3,3
"Excitement Eve","A Brilliant Documentary of a Monkey And a Car who must Conquer a Crocodile in A Shark Tank","G","1","0.99000000000000000000",3,3
"Hunger Roof","A Unbelieveable Yarn of a Student And a Database Administrator who must Outgun a Husband in An Abandoned Mine Shaft","G","1","0.99000000000000000000",6,6
"Noon Papi","A Unbelieveable Character Study of a Mad Scientist And a Astronaut who must Find a Pioneer in A Manhattan Penthouse","G","1","2.9900000000000000",5,5
"Amistad Midsummer","A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California","G","1","2.9900000000000000",6,6
"Gun Bonnie","A Boring Display of a Sumo Wrestler And a Husband who must Build a Waitress in The Gulf of Mexico","G","1","0.99000000000000000000",7,7
"Midsummer Groundhog","A Fateful Panorama of a Moose And a Dog who must Chase a Crocodile in Ancient Japan","G","1","4.9900000000000000",3,3
"Graduate Lord","A Lacklusture Epistle of a Girl And a A Shark who must Meet a Mad Scientist in Ancient China","G","1","2.9900000000000000",7,7
"Stone Fire","A Intrepid Drama of a Astronaut And a Crocodile who must Find a Boat in Soviet Georgia","G","1","0.99000000000000000000",3,3
"Jumanji Blade","A Intrepid Yarn of a Husband And a Womanizer who must Pursue a Mad Scientist in New Orleans","G","1","2.9900000000000000",4,4
"Dude Blindness","A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House","G","1","4.9900000000000000",3,3
"Eve Resurrection","A Awe-Inspiring Yarn of a Pastry Chef And a Database Administrator who must Challenge a Teacher in A Baloon","G","1","4.9900000000000000",5,5
"Baked Cleopatra","A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery","G","1","2.9900000000000000",3,3
"Atlantis Cause","A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank","G","1","2.9900000000000000",6,6
"Hyde Doctor","A Fanciful Documentary of a Boy And a Woman who must Redeem a Womanizer in A Jet Boat","G","1","2.9900000000000000",5,5
"Firehouse Vietnam","A Awe-Inspiring Character Study of a Boat And a Boy who must Kill a Pastry Chef in The Sahara Desert","G","1","0.99000000000000000000",7,7
"Wardrobe Phantom","A Action-Packed Display of a Mad Cow And a Astronaut who must Kill a Car in Ancient India","G","1","2.9900000000000000",6,6
"Operation Operation","A Intrepid Character Study of a Man And a Frisbee who must Overcome a Madman in Ancient China","G","1","2.9900000000000000",7,7
"Borrowers Bedazzled","A Brilliant Epistle of a Teacher And a Sumo Wrestler who must Defeat a Man in An Abandoned Fun House","G","1","0.99000000000000000000",7,7
"Valley Packer","A Astounding Documentary of a Astronaut And a Boy who must Outrace a Sumo Wrestler in Berlin","G","1","0.99000000000000000000",3,3
"Side Ark","A Stunning Panorama of a Crocodile And a Womanizer who must Meet a Feminist in The Canadian Rockies","G","1","0.99000000000000000000",5,5
"Lover Truman","A Emotional Yarn of a Robot And a Boy who must Outgun a Technical Writer in A U-Boat","G","1","2.9900000000000000",3,3
"Armageddon Lost","A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft","G","1","0.99000000000000000000",5,5
"Cruelty Unforgiven","A Brilliant Tale of a Car And a Moose who must Battle a Dentist in Nigeria","G","1","0.99000000000000000000",7,7
"Barbarella Streetcar","A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery","G","1","2.9900000000000000",6,6
"Monterey Labyrinth","A Awe-Inspiring Drama of a Monkey And a Composer who must Escape a Feminist in A U-Boat","G","1","0.99000000000000000000",6,6
"Fidelity Devil","A Awe-Inspiring Drama of a Technical Writer And a Composer who must Reach a Pastry Chef in A U-Boat","G","1","4.9900000000000000",5,5
"Sweethearts Suspects","A Brilliant Character Study of a Frisbee And a Sumo Wrestler who must Confront a Woman in The Gulf of Mexico","G","1","0.99000000000000000000",3,3
"Blues Instinct","A Insightful Documentary of a Boat And a Composer who must Meet a Forensic Psychologist in An Abandoned Fun House","G","1","2.9900000000000000",5,5
"Malkovich Pet","A Intrepid Reflection of a Waitress And a A Shark who must Kill a Squirrel in The Outback","G","1","2.9900000000000000",6,6
"Downhill Enough","A Emotional Tale of a Pastry Chef And a Forensic Psychologist who must Succumb a Monkey in The Sahara Desert","G","1","0.99000000000000000000",3,3
"Day Unfaithful","A Stunning Documentary of a Composer And a Mad Scientist who must Find a Technical Writer in A U-Boat","G","1","4.9900000000000000",3,3
"Grapes Fury","A Boring Yarn of a Mad Cow And a Sumo Wrestler who must Meet a Robot in Australia","G","1","0.99000000000000000000",4,4
"Midnight Westward","A Taut Reflection of a Husband And a A Shark who must Redeem a Pastry Chef in A Monastery","G","1","0.99000000000000000000",3,3
"Caper Motions","A Fateful Saga of a Moose And a Car who must Pursue a Woman in A MySQL Convention","G","1","0.99000000000000000000",6,6
"Turn Star","A Stunning Tale of a Man And a Monkey who must Chase a Student in New Orleans","G","1","2.9900000000000000",3,3
"Hook Chariots","A Insightful Story of a Boy And a Dog who must Redeem a Boy in Australia","G","1","0.99000000000000000000",7,7
"Spiking Element","A Lacklusture Epistle of a Dentist And a Technical Writer who must Find a Dog in A Monastery","G","1","2.9900000000000000",7,7
"Extraordinary Conquerer","A Stunning Story of a Dog And a Feminist who must Face a Forensic Psychologist in Berlin","G","1","2.9900000000000000",6,6
"Wars Pluto","A Taut Reflection of a Teacher And a Database Administrator who must Chase a Madman in The Sahara Desert","G","1","2.9900000000000000",5,5
"Gilbert Pelican","A Fateful Tale of a Man And a Feminist who must Conquer a Crocodile in A Manhattan Penthouse","G","1","0.99000000000000000000",7,7
"Birds Perdition","A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California","G","1","4.9900000000000000",5,5
"Darn Forrester","A Fateful Story of a A Shark And a Explorer who must Succumb a Technical Writer in A Jet Boat","G","1","4.9900000000000000",7,7
"Rebel Airport","A Intrepid Yarn of a Database Administrator And a Boat who must Outrace a Husband in Ancient India","G","1","0.99000000000000000000",7,7
"Harper Dying","A Awe-Inspiring Reflection of a Woman And a Cat who must Confront a Feminist in The Sahara Desert","G","1","0.99000000000000000000",3,3
"Diary Panic","A Thoughtful Character Study of a Frisbee And a Mad Cow who must Outgun a Man in Ancient India","G","1","2.9900000000000000",7,7
"Breakfast Goldfinger","A Beautiful Reflection of a Student And a Student who must Fight a Moose in Berlin","G","1","4.9900000000000000",5,5
"Dogma Family","A Brilliant Character Study of a Database Administrator And a Monkey who must Succumb a Astronaut in New Orleans","G","1","4.9900000000000000",5,5
"Coldblooded Darling","A Brilliant Panorama of a Dentist And a Moose who must Find a Student in The Gulf of Mexico","G","1","4.9900000000000000",7,7
"Happiness United","A Action-Packed Panorama of a Husband And a Feminist who must Meet a Forensic Psychologist in Ancient Japan","G","1","2.9900000000000000",6,6
"Watch Tracy","A Fast-Paced Yarn of a Dog And a Frisbee who must Conquer a Hunter in Nigeria","PG","1","0.99000000000000000000",5,5
"Tramp Others","A Brilliant Display of a Composer And a Cat who must Succumb a A Shark in Ancient India","PG","1","0.99000000000000000000",4,4
"Secretary Rouge","A Action-Packed Panorama of a Mad Cow And a Composer who must Discover a Robot in A Baloon Factory","PG","1","4.9900000000000000",5,5
"Pet Haunting","A Unbelieveable Reflection of a Explorer And a Boat who must Conquer a Woman in California","PG","1","0.99000000000000000000",3,3
"Disciple Mother","A Touching Reflection of a Mad Scientist And a Boat who must Face a Moose in A Shark Tank","PG","1","0.99000000000000000000",3,3
"Peak Forever","A Insightful Reflection of a Boat And a Secret Agent who must Vanquish a Astronaut in An Abandoned Mine Shaft","PG","1","4.9900000000000000",7,7
"Sweden Shining","A Taut Documentary of a Car And a Robot who must Conquer a Boy in The Canadian Rockies","PG","1","4.9900000000000000",6,6
"Talented Homicide","A Lacklusture Panorama of a Dentist And a Forensic Psychologist who must Outrace a Pioneer in A U-Boat","PG","1","0.99000000000000000000",6,6
